customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8359-LQYWG,Female,0,Yes,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,31.1,1741.01,No
4970-MAQAI,Male,1,Yes,No,7,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),85.01,573.79,Yes
5870-BMXZX,Female,1,No,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,750.11,No
7271-LSIEK,Female,0,Yes,No,26,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),73.91,1894.5,No
2584-BNWFZ,Male,0,No,No,24,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),67.74,1582.81,Yes
5013-HYTIA,Female,0,No,No,71,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,75.22,5296.79,No
3952-EFWDH,Female,0,No,No,2,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,82.13,169.41,Yes
9778-DRFAA,Female,1,No,Yes,57,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,73.24,4264.1,No
8403-TCYKS,Male,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),97.87,4141.59,No
6266-EHVKC,Male,0,Yes,Yes,43,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Electronic check,77.64,3304.66,No
3395-AZGGY,Male,0,No,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.39,583.66,No
3440-FBPIN,Female,0,Yes,No,40,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,63.18,2453.96,No
4545-PMBYP,Female,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),58.99,47.62,Yes
8918-UAIRR,Female,1,No,No,49,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Electronic check,66.43,3233.58,No
2773-RYEXW,Male,0,Yes,No,8,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,64.81,487.45,Yes
6128-RQLKE,Male,0,Yes,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),29.54,884.79,No
2247-HODAJ,Female,0,No,Yes,68,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,97.26,6600.81,No
7438-YYSOD,Male,0,No,Yes,38,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,96.35,3677.56,No
6492-HQZWN,Female,0,No,No,42,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,68.13,2884.87,No
3096-EIROQ,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,69.08,486.68,No
1238-RDICB,Female,0,No,Yes,24,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),57.75,1398.29,No
8004-ANVBV,Male,0,Yes,No,53,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),53.39,2824.17,No
3866-WYUFT,Female,0,Yes,No,54,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),69.57,3799.58,No
7023-KEILI,Female,0,No,No,0,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),60.44, ,No
3607-WUGSY,Female,1,No,Yes,28,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),89.12,2458.14,No
